roll,legal,address,land_area,land_area_unit,subdivision,zoning,linc_number,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
1545001,SE-16-58-23-4,23314 TWP RD 582,80.06,Acres,Sturgeon County,AGRICULTURE,0029769528,3.00,Acres,2014,"126,470",,Township Road 582,,Alberta,Division No. 11,Canada,,54.0072601,-113.483822
1546000,7923122 1 NW-16-58-23-4,58231 RGE RD 234,20.01,Acres,Sturgeon County,AGRICULTURE,0010180297,3.00,Acres,2014,"223,430",58231,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1546001,7923122 2 NW-16-58-23-4,58227 RGE RD 234,20.02,Acres,Sturgeon County,AGRICULTURE,0012459467,3.00,Acres,2014,"127,040",58227,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1546002,7923122 3 NW-16-58-23-4,58223 RGE RD 234,20.02,Acres,Sturgeon County,AGRICULTURE,0012378345,20.02,Acres,2014,"256,830",58223,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1546003,7923122 4 NW-16-58-23-4,58217 RGE RD 234,20.02,Acres,Sturgeon County,AGRICULTURE,0012459475,3.00,Acres,2014,"481,780",58217,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1547000,7923122 5 SW-16-58-23-4,58211 RGE RD 234,236.97,Acres,Sturgeon County,AGRICULTURE,0012459483,3.00,Acres,2014,"200,930",58211,Range Road 234,Bon Accord,Alberta,Division No. 11,Canada,T0A 0K0,53.8672368,-113.3722812
1547001,7923122 6-MR,,0.42,Acres,Sturgeon County,AGRICULTURE,,0.42,Acres,2014,"19,350",,,,,,,,,
1547002,7923122 7-MR,,0.30,Acres,Sturgeon County,AGRICULTURE,,0.30,Acres,2014,"13,820",,,,,,,,,
1547003,7923122 8-MR,,0.31,Acres,Sturgeon County,AGRICULTURE,,0.31,Acres,2014,"14,280",,,,,,,,,
1548000,NE-16-58-23-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"4,380",,,,,,,,,
1549000,SE-17-58-23-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"7,630",,,,,,,,,
1550000,SE-17-58-23-4,23414 TWP RD 582,80.00,Acres,Sturgeon County,AGRICULTURE,0023286941,3.00,Acres,2014,"435,560",,Township Road 582,,Alberta,Division No. 11,Canada,,54.0072601,-113.483822
1551001,7621460 1 2 SW-17-58-23-4,35 RICHFIELD ROAD,3.03,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.03,Acres,2014,"87,330",35,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0116755,-113.3936834
1551002,7621460 1 3 SW-17-58-23-4,33 RICHFIELD ROAD,3.22,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.22,Acres,2014,"318,110",33,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0122477,-113.3936832
1551003,7621460 1 4 SW-17-58-23-4,31 RICHFIELD ROAD,3.05,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.05,Acres,2014,"293,120",31,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0127125,-113.3932716
